place,team,score,member name,member score
1,Infobahn,8734,,
,,,Infobahn,8734
2,0xfun,8237,,
,,,0x22,476
,,,0xfun,6152
,,,deadbeef,0
,,,Mαl£,0
,,,haind,915
,,,XxXJayXxX,694
,,,NJM,0
,,,DarkTar,0
,,,x03e_,0
,,,arch3rn4r,0
,,,cvestone,0
3,L3ak,8237,,
,,,L3ak,8237
4,MindCrafters,7801,,
,,,Kerszi,245
,,,null_byte,1101
,,,auxzae,0
,,,michalBB,0
,,,schwa,360
,,,umz,115
,,,Lazarus,50
,,,Grzechu,0
,,,kerip,1233
,,,Khadija Ijaz ,398
,,,Cappybara,50
,,,b3d1,501
,,,ppp45,436
,,,clev1L,1791
,,,JohnDoers,0
,,,Rez,0
,,,rvr,480
,,,zBlxst,878
,,,omar1337,163
5,valgrind,7760,,
,,,valgrind,5206
,,,kayzeen,403
,,,meisr,464
,,,stelin41,1123
,,,rethinkrubiks,564
,,,Tx1,0
6,RubiyaLab,6382,,
,,,RubiyaLab,4705
,,,ctrlisk,1677
7,NUS Greyhats,5499,,
,,,Cats,1464
,,,incog,381
,,,rat2libz,624
,,,TheMythologist,1212
,,,dxcv,1818
8,HCS,4165,,
,,,daffainfo,578
,,,Revvv,353
,,,mirai,639
,,,DJumanto,0
,,,Argonaut,464
,,,hanz,263
,,,Haalloobim,0
,,,miraicansleep,1868
,,,hoshinorevy,0
,,,gabil nay,0
,,,kiseki,0
,,,jjcho,0
,,,Lafcadio,0
,,,winter <3,0
,,,rootkids,0
,,,missing her smile,0
,,,spitfire,0
9,ADMinions,4027,,
,,,fsharp,2568
,,,serioton,1459
,,,pr0m0ly,0
10,vjl02174,3874,,
,,,vjl02174,3874
11,BKISC,3863,,
,,,BKISC,3863
12,jinmo123,3833,,
,,,jinmo123,3833
13,Ripe RIce,3509,,
,,,Ripe Rice,3509
14,Squid Proxy Lover,3441,,
,,,CH3COOH,0
,,,dudcom,0
,,,corgo,0
,,,spicydll,207
,,,lycontrixx,889
,,,vyra,1042
,,,h2so4,150
,,,Moron,0
,,,BraydenPikachu,404
,,,cryze,749
,,,Puru Jain,0
15,> r0/dev/null,3381,,
,,,Stefan,313
,,,budor,839
,,,tomadimitrie,1128
,,,INFERNOSALEX,531
,,,Mrbgd,207
,,,xseven,363
,,,siek1,0
,,,CShark3008,0
16,>$ 5ol0,3173,,
,,,meinuu,3173
17,TeamSerbia,3032,,
,,,JPaja,0
,,,jvvan,268
,,,manjaro,789
,,,lightwhisper,0
,,,Pseudoleon,1147
,,,refr4g,0
,,,tamp,678
,,,krsman,150
,,,k4lizen,0
,,,aleksav013,0
18,SNI,2983,,
,,,SNI,2983
,,,frennn,0
19,Weak But Leet,2762,,
,,,Weak But Leet,2762
20,Phish Paprikash,2654,,
,,,mj,50
,,,ltomic,611
,,,ipaljak,1719
,,,salter,274
21,spookies,2558,,
,,,zeosutt,2295
,,,homesentinel,263
22,flame,2544,,
,,,flame,2544
23,Hack Smarter,2286,,
,,,Zonkor,0
,,,grep_more_coffee,65
,,,revoltz,200
,,,F13ND,0
,,,amir_gz,0
,,,ziro00,1035
,,,dunc3,0
,,,Lights_Out,0
,,,gm0uf,207
,,,TomMartin,0
,,,rs8897,0
,,,ThatN00bTechie,0
,,,Velobobo,0
,,,khiz3r,0
,,,Knorrke,363
,,,(=★ω★=),0
,,,n00bosaurus,0
,,,Rishvaish,0
,,,kryptic,0
,,,0xkn1gh7,213
,,,megainu,50
,,,kscorpio,0
,,,SageD,0
,,,ubereepy,0
,,,Riles,0
,,,NTHR69,153
,,,Abana Norsy,0
,,,LeBleezy,0
,,,barrowbm,0
24,terkctf,2125,,
,,,terkctf,2125
25,JSoyke,2014,,
,,,JSoyke,2014
26,Status 418,1995,,
,,,Asaad,0
,,,kvasir,65
,,,Antios,207
,,,jjeeeeee,0
,,,willnohomo,0
,,,Potatonator,616
,,,ds_305,0
,,,lorg,150
,,,malcolm,544
,,,Ghosty1008,413
27,BITSkrieg,1956,,
,,,darthlazius,0
,,,Kronos,0
,,,d4y0n3,295
,,,Sengoku,0
,,,RagRocks,1301
,,,EronAt,0
,,,Metapod_04,360
,,,kekwman,0
,,,K27,0
,,,rskbansal,0
28,1click,1936,,
,,,Ibrahim,1936
,,,7,0
,,,wolfz,0
,,,ehe,0
,,,Dev3il,0
29,reCAPTCHA the Flag,1930,,
,,,nightxade,735
,,,Chara,466
,,,Spaghet,100
,,,quackers,564
,,,brew,65
,,,deciphr,0
,,,brew 2 cause i forgor,0
30,DVClutch,1850,,
,,,Mister M,398
,,,Earl,207
,,,Roman N.,0
,,,tacocat,50
,,,Toadio,0
,,,Alevar,0
,,,Aloys,0
,,,Pologin,65
,,,NivekS,153
,,,Atchoum,50
,,,Nil,0
,,,T0rtou1e,0
,,,Iced gob,50
,,,345y_Fl4g,526
,,,infarctus,0
,,,N4YT3,0
,,,Flozoui,351
31,ChaGU,1822,,
,,,ChaGU,716
,,,klondike,636
,,,Panda,470
,,,dodgy_camel,0
32,𐎼𐎠𐎱𐎹𐎢𐎫𐎠,1811,,
,,,𐎼𐎠𐎱𐎹𐎢𐎫𐎠,1811
33,Akasec,1786,,
,,,S0nG0ku,50
,,,d33znu75,749
,,,pengu,450
,,,M411K,0
,,,nyly,487
,,,hel-makh,0
,,,3dnan,50
34,M53,1719,,
,,,M53,1719
35,Mayas,1628,,
,,,Mayas,1628
,,,t1n00b,0
36,Hack@Sec,1581,,
,,,ElChals,639
,,,C15C01337,942
37,H7Tex,1578,,
,,,Abu,115
,,,Mrghost,0
,,,nh0k1tg3r12,749
,,,owatron,0
,,,Cook1e,200
,,,j0sh,464
,,,N1sh,0
,,,Shl,0
,,,PattuSai,50
38,FPTU Ethical Hackers Club,1574,,
,,,mahiru,163
,,,ehc,1411
,,,Chise,0
